id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
NE;Nordeste;FIO;JEQUITINHONHA;NORDESTE;JEUITP;ITAPEBI;68.0;154.0;2023-01-01;109.68000030517578;28.549999237060547;88.4000015258789;639.989990234375;341.0;291.0;0.0;632.0;0.0;868.75;;443.5400085449219;-0.9089999794960022;1.4845000505447388;443.5400085449219
NE;Nordeste;RCU;PARAGUACU;NORDESTE;PGUCV;PEDRA DO CAVALO;109.0;189.0;2023-01-01;116.58000183105469;3.9000000953674316;128.99000549316406;436.2699890136719;53.5099983215332;0.0;0.0;53.5099983215332;13.0;434.3900146484375;;434.3900146484375;-1.8830000162124634;5.4710001945495605;434.3900146484375
NE;Nordeste;RCU;PARNAIBA;NORDESTE;PIBESP;BOA ESPERANÇA;110.0;190.0;2023-01-01;301.19000244140625;258.8699951171875;48.900001525878906;881.0;256.0;0.0;;256.0;;860.8200073242188;;860.8200073242188;7.3429999351501465;0.7160999774932861;888.97998046875
NE;Nordeste;RCU;SAO FRANCISCO;NORDESTE;SFSOBR;SOBRADINHO;180.0;169.0;2023-01-01;390.260009765625;362.0899963378906;70.93000030517578;3300.0;1260.0;0.0;;1260.0;;4065.2099609375;;3147.2099609375;250.3040008544922;45.99580001831055;3147.2099609375
NE;Nordeste;RCU;SAO FRANCISCO;NORDESTE;SFLGON;LUIZ GONZAGA;181.0;172.0;2023-01-01;302.04998779296875;250.99000549316406;57.56999969482422;1400.0;778.0;0.0;;778.0;;3955.570068359375;;71.68000030517578;49.75299835205078;104.90290069580078;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFMOXO;APOLONIO SALES;182.0;173.0;2023-01-01;251.22000122070312;230.14999389648438;60.290000915527344;712.6699829101562;0.0;0.0;;0.0;921.0;3955.570068359375;;0.0;;107.43099975585938;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFP123;P. AFONSO 1,2,3;183.0;174.0;2023-01-01;230.0;142.9199981689453;89.80000305175781;10.529999732971191;14.0;0.0;;14.0;;3955.570068359375;;0.0;0.3400000035762787;107.5009994506836;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFPAF4;P. AFONSO 4;184.0;175.0;2023-01-01;251.13999938964844;137.72000122070312;56.459999084472656;689.52001953125;921.0;0.0;;921.0;;3955.570068359375;;;;107.5009994506836;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFXING;XINGO;185.0;178.0;2023-01-01;137.35000610351562;17.690000534057617;21.950000762939453;935.0;1111.0;0.0;;1111.0;;3906.159912109375;;0.0;4.081999778747559;107.85479736328125;
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AAUCCA;CACHOEIRA CALDEIRAO;1.0;204.0;2023-01-01;58.29999923706055;42.459999084472656;100.0;1066.0;1066.0;0.0;;1066.0;;1108.68994140625;;1108.68994140625;0.8669999837875366;;1066.8699951171875
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AMUHCN;COARACY NUNES;2.0;280.0;2023-01-01;42.02000045776367;21.649999618530273;97.25;1088.0;400.0;688.0;0.0;1088.0;;1104.5;;3.359999895095825;;0.0;26.0
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AAFGO;FERREIRA GOMES;3.0;284.0;2023-01-01;20.049999237060547;3.4800000190734863;-23.729999542236328;1098.9200439453125;1079.0;0.0;0.0;1079.0;0.0;1106.030029296875;;8.970000267028809;0.33000001311302185;0.009999999776482582;14.010000228881836
N;Norte;RCU;AMAZONAS;MANAUS-AMAPA;AMUHBB;BALBINA;10.0;277.0;2023-01-01;49.130001068115234;25.170000076293945;57.33000183105469;742.25;500.0;0.0;0.0;500.0;0.0;903.1799926757812;;903.1799926757812;26.819000244140625;0.03449999913573265;769.0700073242188
N;Norte;RCU;AMAZONAS;BELO MONTE;CRCURU;CURUA-UNA;16.0;272.0;2023-01-01;31.809999465942383;13.050000190734863;91.26000213623047;457.510009765625;251.0;173.0;;424.0;;428.79998779296875;;428.79998779296875;1.2610000371932983;0.05999999865889549;458.8299865722656
N;Norte;FIO;AMAZONAS;MANAUS-AMAPA;AMSAJ;STO ANTONIO DO JARI;17.0;286.0;2023-01-01;30.260000228881836;3.75;133.7899932861328;1472.1500244140625;1093.0;144.0;45.0;1282.0;;1435.3599853515625;;1435.3599853515625;0.4659999907016754;0.8654999732971191;1473.47998046875
N;Norte;FIO;AMAZONAS;BELO MONTE;AMUSBM;BELO MONTE;18.0;288.0;2023-01-01;96.30000305175781;3.609999895095825;61.7599983215332;0.0;3493.0;0.0;0.0;3493.0;0.0;0.0;6475.3798828125;0.0;0.0;;0.0
N;Norte;FIO;AMAZONAS;BELO MONTE;AMUSPM;PIMENTAL;19.0;314.0;2023-01-01;96.80000305175781;82.88999938964844;-38.849998474121094;8099.06005859375;912.0;0.0;9.0;921.0;4629.240234375;7461.75;986.3699951171875;7461.75;0.0;6.339000225067139;8105.39990234375
N;Norte;FIO;TOCANTINS;NORTE;TOUHET;ESTREITO;218.0;267.0;2023-01-01;153.13999938964844;135.49000549316406;38.61000061035156;9089.0498046875;3157.0;5768.0;;8925.0;;9957.4404296875;;2857.3701171875;4.645999908447266;9.548700332641602;2901.110107421875
N;Norte;RCU;TOCANTINS;NORTE;TOTUCU;TUCURUI;219.0;275.0;2023-01-01;64.33999633789062;5.059999942779541;40.25;15316.1796875;4245.0;0.0;0.0;4245.0;0.0;16715.5;;8058.2998046875;8.362000465393066;27.031299591064453;8402.0595703125
SE;Sudeste/Centro-Oeste;FIC;PARANA;PARANA;PNTIRM;ILHA + T. IRMÃOS;;44.0;2023-01-01;63.779998779296875;;63.779998779296875;3384.114990234375;2909.0;0.0;0.0;2909.0;;8442.2900390625;;513.5460205078125;;;473.97100830078125
SE;Sudeste/Centro-Oeste;CED;TIETE;;TICPBA;CANAL P. BARRETO;;0.0;2023-01-01;;;;-508.0;;;;;;;;;;;
SE;Sudeste/Centro-Oeste;RES;SANTA MARIA VIT;;ODRBON;RIO BONITO;;;2023-01-01;646.6799926757812;;;;;0.0;;9.0;;13.710000038146973;;;;;
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMUGUA;GUAPORE;4.0;196.0;2023-01-01;479.1700134277344;304.3500061035156;93.66000366210938;35.459999084472656;32.0;0.0;3.0;35.0;0.0;35.560001373291016;;35.560001373291016;0.03500000014901161;0.03999999910593033;35.540000915527344
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMUHJI;JIRAU;5.0;285.0;2023-01-01;87.3499984741211;72.45999908447266;54.72999954223633;16413.310546875;10048.0;5513.0;72.0;15633.0;0.0;16101.3798828125;;16101.3798828125;-7.125999927520752;61.07939910888672;16467.26953125
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMUSSN;SANTO ANTONIO;6.0;287.0;2023-01-01;71.27999877929688;52.060001373291016;98.4000015258789;16076.5595703125;11938.0;3780.0;392.0;16110.0;0.0;16786.7109375;;636.75;-9.680000305175781;61.07939910888672;-98.29000091552734
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS;MADEIRA;AMSU;SAMUEL;7.0;279.0;2023-01-01;80.9800033569336;53.220001220703125;6.809999942779541;434.3599853515625;171.0;0.0;0.0;171.0;0.0;383.3399963378906;;383.3399963378906;3.441999912261963;0.37450000643730164;438.1700134277344
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS;MADEIRA;AMUHRD;RONDON II;8.0;276.0;2023-01-01;265.05999755859375;204.75;34.189998626708984;84.16000366210938;91.0;0.0;13.0;104.0;0.0;98.29000091552734;;98.29000091552734;0.9679999947547913;0.25450000166893005;85.38999938964844
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;MADEIRA;AMDA;DARDANELOS;9.0;310.0;2023-01-01;213.5;113.69999694824219;0.0;149.97999572753906;125.0;25.0;0.0;150.0;0.0;150.16000366210938;;150.16000366210938;0.004000000189989805;0.18000000715255737;150.16000366210938
SE;Sudeste/Centro-Oeste;RCU;AMAZONAS;TELES PIRES;AMSNPE;SINOP;12.0;227.0;2023-01-01;297.7699890136719;272.3399963378906;48.84000015258789;1098.219970703125;568.0;0.0;0.0;568.0;;1113.780029296875;;1113.780029296875;0.0;3.547100067138672;1101.77001953125
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMCLR;COLIDER;13.0;228.0;2023-01-01;271.69000244140625;249.36000061035156;48.33000183105469;681.5599975585938;850.0;0.0;8.0;850.0;;1262.4300537109375;;103.47000122070312;0.0;3.547100067138672;123.02999877929688
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMUHTP;TELES PIRES;14.0;229.0;2023-01-01;220.47000122070312;163.61000061035156;106.2699966430664;2885.0;2362.0;523.0;0.0;2885.0;0.0;2911.070068359375;;1820.010009765625;2.569999933242798;3.607100009918213;1984.1800537109375
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMUSMA;SAO MANOEL;15.0;230.0;2023-01-01;161.39999389648438;137.41000366210938;97.16000366210938;2777.719970703125;2144.0;648.0;;2792.0;;2926.719970703125;;16.530000686645508;0.0;3.607100009918213;-84.01000213623047
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCUHEC;CANDONGA;23.0;139.0;2023-01-01;327.0400085449219;278.8999938964844;53.150001525878906;171.63999938964844;0.0;171.0;0.0;171.0;;253.89999389648438;;253.89999389648438;-0.039000000804662704;0.734499990940094;172.3300018310547
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;PCGAMO;GUILM. AMORIM;24.0;192.0;2023-01-01;494.1600036621094;377.42999267578125;70.69999694824219;103.44000244140625;98.0;0.0;1.0;98.0;0.0;112.9000015258789;;112.9000015258789;-0.012000000104308128;0.5699999928474426;104.0
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCSCAR;SA CARVALHO;25.0;193.0;2023-01-01;372.8900146484375;257.010009765625;127.2699966430664;102.87999725341797;65.0;38.0;;103.0;;114.87999725341797;;2.5399999618530273;-0.0020000000949949026;0.5745000243186951;4.389999866485596
SE;Sudeste/Centro-Oeste;RES;DOCE;SUDESTE;DCSACM;SANTONIO CM;26.0;193.0;2023-01-01;361.54998779296875;;;171.0;;92.0;;168.0;76.0;;;;;;
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;SASGCM;SALTO GRANDE CM;27.0;134.0;2023-01-01;352.1300048828125;;55.70000076293945;92.75;123.0;1.0;;124.0;;198.92999267578125;;198.92999267578125;-0.08500000089406967;0.17000000178813934;184.8300018310547
SE;Sudeste/Centro-Oeste;RCU;DOCE;SUDESTE;DCPORT;PORTO ESTRELA;28.0;135.0;2023-01-01;255.39999389648438;206.05999755859375;74.43000030517578;198.77999877929688;232.0;0.0;0.0;232.0;0.0;203.3699951171875;;0.0;-0.04399999976158142;0.1899999976158142;-22.65999984741211
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCUBAG;BAGUARI;29.0;141.0;2023-01-01;184.80999755859375;166.27000427246094;60.2599983215332;817.72998046875;624.0;203.0;1.0;827.0;;877.4099731445312;;289.0199890136719;-0.04500000178813934;3.430000066757202;224.1199951171875
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCAIMO;AIMORES;30.0;143.0;2023-01-01;89.91999816894531;60.790000915527344;80.30999755859375;1067.489990234375;973.0;44.0;16.0;1033.0;;1045.719970703125;;123.5999984741211;-0.15399999916553497;4.532899856567383;207.94000244140625
SE;Sudeste/Centro-Oeste;FIO;DOCE;SUDESTE;DCMASC;MASCARENHAS;31.0;144.0;2023-01-01;60.689998626708984;40.54999923706055;95.05000305175781;1264.4000244140625;1060.0;211.0;;1271.0;;1272.1500244140625;;221.1999969482422;-0.05000000074505806;5.129700183868408;229.1999969482422
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRCAMA;CAMARGOS;32.0;1.0;2023-01-01;906.0800170898438;886.0700073242188;37.5;352.1499938964844;204.0;0.0;;204.0;;311.1600036621094;;311.1600036621094;0.10999999940395355;0.20190000534057617;352.4599914550781
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRITUT;ITUTINGA;33.0;2.0;2023-01-01;885.6799926757812;857.8200073242188;92.38999938964844;216.375;216.0;0.0;0.0;216.0;;311.1600036621094;;0.0;;;0.0
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRFUNI;FUNIL-MG;34.0;4.0;2023-01-01;807.9000244140625;770.9000244140625;49.93000030517578;913.1900024414062;535.0;390.0;;925.0;;1044.489990234375;;766.1500244140625;0.17499999701976776;0.8418999910354614;715.010009765625
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRFURN;FURNAS;35.0;6.0;2023-01-01;763.6699829101562;669.0499877929688;66.94999694824219;2308.929931640625;133.0;0.0;0.0;133.0;0.0;2611.169921875;;1913.6300048828125;11.281000137329102;3.9096999168395996;1521.8900146484375
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRMMOR;M. MORAES;36.0;7.0;2023-01-01;663.8499755859375;620.0399780273438;78.5199966430664;574.5800170898438;335.0;0.0;0.0;335.0;0.0;2616.080078125;;184.27999877929688;2.1510000228881836;4.489699840545654;407.80999755859375
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRLCBA;L. C. BARRETO;37.0;8.0;2023-01-01;619.719970703125;557.9099731445312;29.989999771118164;362.8900146484375;449.0;0.0;0.0;449.0;0.0;2588.14990234375;;42.529998779296875;0.3440000116825104;4.559700012207031;25.889999389648438
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRJAGU;JAGUARA;38.0;9.0;2023-01-01;557.9000244140625;513.4299926757812;80.0;471.7200012207031;437.0;0.0;;437.0;;2551.080078125;;17.600000381469727;0.27799999713897705;4.589700222015381;23.239999771118164
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRIGAR;IGARAPAVA;39.0;10.0;2023-01-01;511.8699951171875;494.8599853515625;17.18000030517578;478.2699890136719;516.0;0.0;2.0;516.0;;2486.530029296875;;50.349998474121094;0.4569999873638153;4.699699878692627;37.040000915527344
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRVGRA;VOLTA GRANDE;40.0;11.0;2023-01-01;494.5400085449219;393.239990234375;75.75;603.0;603.0;0.0;;603.0;;2450.699951171875;;112.43000030517578;1.8589999675750732;4.879700183868408;85.08000183105469
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;GRPCOL;P. COLOMBIA;41.0;12.0;2023-01-01;466.57000732421875;443.1099853515625;62.150001525878906;652.3499755859375;588.0;0.0;0.0;588.0;0.0;2556.080078125;;245.9499969482422;1.3890000581741333;6.386499881744385;120.75
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;PDCACO;CACONDE;42.0;14.0;2023-01-01;848.719970703125;751.3099975585938;65.54000091552734;236.02999877929688;52.0;0.0;0.0;52.0;0.0;182.99000549316406;;182.99000549316406;0.23999999463558197;0.4000000059604645;236.6699981689453
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;PDECUN;E. DA CUNHA;43.0;15.0;2023-01-01;664.02001953125;579.2999877929688;78.25;114.06999969482422;115.0;0.0;0.0;115.0;0.0;313.95001220703125;;115.52999877929688;0.010999999940395355;0.6700000166893005;61.86000061035156
SE;Sudeste/Centro-Oeste;FIO;GRANDE;PARANA;PDLIMO;LIMOEIRO;44.0;16.0;2023-01-01;572.47998046875;547.219970703125;90.52999877929688;113.16999816894531;109.0;0.0;0.0;109.0;0.0;326.1700134277344;;4.710000038146973;;;-6.5
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRMARI;MARIMBONDO;45.0;17.0;2023-01-01;438.8900146484375;380.6099853515625;48.380001068115234;1813.0400390625;776.0;0.0;0.0;776.0;0.0;3725.969970703125;;1051.75;3.11899995803833;14.979000091552734;1050.5799560546875
SE;Sudeste/Centro-Oeste;RCU;GRANDE;PARANA;GRAGVL;A. VERMELHA;46.0;18.0;2023-01-01;378.20001220703125;326.3999938964844;42.5;1152.9200439453125;915.0;0.0;0.0;915.0;0.0;3574.35009765625;;423.7300109863281;4.263999938964844;18.05190086364746;373.510009765625
SE;Sudeste/Centro-Oeste;FIO;ITABAPOANA;SUDESTE;ITRSL;ROSAL;66.0;217.0;2023-01-01;555.4299926757812;361.1600036621094;108.43000030517578;70.52999877929688;32.0;40.0;2.0;74.0;;73.41999816894531;;73.41999816894531;-0.0020000000949949026;0.10999999940395355;70.63999938964844
SE;Sudeste/Centro-Oeste;RCU;JEQUITINHONHA;SUDESTE;JEIRAP;IRAPE;67.0;148.0;2023-01-01;505.1099853515625;330.5400085449219;83.2300033569336;162.0;47.0;0.0;;47.0;;153.8800048828125;;153.8800048828125;-0.9160000085830688;0.12999999523162842;161.2100067138672
SE;Sudeste/Centro-Oeste;FIO;MUCURI;SUDESTE;MUSCLA;STA.CLARA-MG;81.0;283.0;2023-01-01;84.9800033569336;35.119998931884766;77.94000244140625;190.4600067138672;140.0;64.0;0.0;204.0;0.0;189.3800048828125;;189.3800048828125;-0.04899999871850014;0.6083999872207642;191.02000427246094
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBPARA;PARAIBUNA;82.0;121.0;2023-01-01;702.6900024414062;625.0700073242188;34.77000045776367;153.9499969482422;35.0;0.0;0.0;35.0;0.0;140.75999450683594;;140.75999450683594;-2.1080000400543213;0.1354999989271164;151.97999572753906
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBSTAB;SANTA BRANCA;83.0;122.0;2023-01-01;611.02001953125;575.8300170898438;25.729999542236328;49.02000045776367;32.0;0.0;0.0;32.0;0.0;154.75999450683594;;20.479999542236328;-0.13500000536441803;0.1599999964237213;13.90999984741211
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBJAGU;JAGUARI;84.0;120.0;2023-01-01;612.5599975585938;556.0999755859375;38.5;44.15999984741211;4.0;0.0;0.0;4.0;0.0;51.7599983215332;;51.7599983215332;-0.4869999885559082;0.10000000149011612;43.779998779296875
SE;Sudeste/Centro-Oeste;RCU;PARAIBA DO SUL;SUDESTE;PBFUNI;FUNIL;85.0;123.0;2023-01-01;458.54998779296875;395.0299987792969;54.91999816894531;301.7200012207031;217.0;0.0;0.0;217.0;0.0;436.3399963378906;;285.82000732421875;-0.43700000643730164;6.40939998626709;266.92999267578125
