id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
NE;Nordeste;FIO;JEQUITINHONHA;NORDESTE;JEUITP;ITAPEBI;68.0;154.0;2024-01-01;109.12999725341797;27.190000534057617;13.0;94.52999877929688;129.0;5.0;0.0;134.0;0.0;59.38999938964844;;8.800000190734863;-0.9089999794960022;1.4945000410079956;10.75
NE;Nordeste;RCU;PARAGUACU;NORDESTE;PGUCV;PEDRA DO CAVALO;109.0;189.0;2024-01-01;111.68000030517578;3.2899999618530273;63.65999984741211;3.0;2.0;0.0;;2.0;13.0;1.409999966621399;;1.409999966621399;-1.590000033378601;5.593900203704834;1.409999966621399
NE;Nordeste;RCU;PARNAIBA;NORDESTE;PIBESP;BOA ESPERANÇA;110.0;190.0;2024-01-01;299.4800109863281;258.8800048828125;21.600000381469727;279.7200012207031;245.0;0.0;;245.0;;307.6700134277344;;307.6700134277344;6.736000061035156;0.7305999994277954;287.19000244140625
NE;Nordeste;RCU;SAO FRANCISCO;NORDESTE;SFSOBR;SOBRADINHO;180.0;169.0;2024-01-01;388.45001220703125;361.79998779296875;51.560001373291016;720.0;1012.0;0.0;;1012.0;;1234.27001953125;;1002.27001953125;208.07400512695312;46.65129852294922;1002.27001953125
NE;Nordeste;RCU;SAO FRANCISCO;NORDESTE;SFLGON;LUIZ GONZAGA;181.0;172.0;2024-01-01;301.5299987792969;251.50999450683594;47.0;940.0;1057.0;0.0;;1057.0;;1002.5700073242188;;0.0;48.28200149536133;106.4719009399414;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFMOXO;APOLONIO SALES;182.0;173.0;2024-01-01;251.67999267578125;230.2100067138672;83.7300033569336;1051.719970703125;0.0;0.0;;0.0;1017.0;1002.5700073242188;;0.0;;109.04100036621094;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFP123;P. AFONSO 1,2,3;183.0;174.0;2024-01-01;230.10000610351562;143.3000030517578;93.87999725341797;1.0;1.0;0.0;;1.0;;1002.5700073242188;;0.0;0.3400000035762787;109.11100006103516;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFPAF4;P. AFONSO 4;184.0;175.0;2024-01-01;251.52999877929688;139.97000122070312;76.08000183105469;1132.739990234375;1017.0;0.0;;1017.0;;1002.5700073242188;;;;109.11100006103516;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFXING;XINGO;185.0;178.0;2024-01-01;137.63999938964844;15.130000114440918;58.540000915527344;1018.0;1093.0;0.0;;1093.0;;926.3400268554688;;0.0;4.081999778747559;109.47480010986328;
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AAUCCA;CACHOEIRA CALDEIRAO;1.0;204.0;2024-01-01;58.29999923706055;42.15999984741211;100.0;346.0;346.0;0.0;;346.0;;340.55999755859375;;340.55999755859375;0.8669999837875366;;346.8699951171875
