id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 09:00:00;27612.637;6569.439;5269.2;20948.066;60399.34;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 09:00:00;17768.83;4529.293;4.0;9686.55199999;33264.864;-1276.18899999
S;SUL;2025-01-01 09:00:00;4471.223;26.675;275.368;4123.827;9783.913;-886.82
NE;NORDESTE;2025-01-01 10:00:00;2227.341;428.108;3483.222;6244.68599999;10415.971;1967.386
N;NORTE;2025-01-01 10:00:00;3186.847;1586.82899999;116.968;1483.412;6772.958;-398.902
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 10:00:00;27784.822;6555.028;3853.91;23621.607;61815.37;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 10:00:00;17945.944;4513.178;4.0;11016.16699999;34528.425;-1049.136
S;SUL;2025-01-01 10:00:00;4424.69;26.913;249.72;4877.342;10098.013;-519.34799999
NE;NORDESTE;2025-01-01 11:00:00;2198.639;428.665;3364.184;6421.458;10248.979;2163.967
N;NORTE;2025-01-01 11:00:00;3183.782;1576.556;122.26;1572.365;6736.793;-281.83
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 11:00:00;27943.751;6541.703;3737.931;24729.21;62952.6;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 11:00:00;17678.041;4511.60099999;4.5;11394.301;35240.858;-1652.415
S;SUL;2025-01-01 11:00:00;4883.289;24.881;246.987;5341.08599999;10725.96499999;-229.722
NE;NORDESTE;2025-01-01 12:00:00;2213.053;427.332;3428.622;6339.59499999;9925.75399999;2482.848
N;NORTE;2025-01-01 12:00:00;3186.81399999;1571.147;135.77699999;1534.601;6739.884;-311.54499999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 12:00:00;28075.786;6553.624;3841.325;23929.701;62400.44;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 12:00:00;17651.298;4523.508;5.0;10836.17899999;34901.939;-1885.954
S;SUL;2025-01-01 12:00:00;5024.621;31.637;271.926;5219.32599999;10832.859;-285.349
NE;NORDESTE;2025-01-01 13:00:00;2212.532;438.43299999;3749.637;6163.34999999;9938.75899999;2625.193
N;NORTE;2025-01-01 13:00:00;3184.981;1569.457;146.798;1401.49199999;6734.909;-432.181
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 13:00:00;28448.022;6574.225;4259.651;22219.865;61501.76;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 13:00:00;17788.48;4527.875;5.0;10022.715;33922.866;-1578.79599999
S;SUL;2025-01-01 13:00:00;5262.029;38.46;358.216;4632.308;10905.229;-614.216
NE;NORDESTE;2025-01-01 14:00:00;2205.01499999;445.28799999;5268.127;5887.64799999;10096.473;3709.60499999
N;NORTE;2025-01-01 14:00:00;3178.706;1561.37199999;201.835;1199.407;6854.58;-713.25999999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 14:00:00;29068.786;6577.948;6001.245;19974.68;61622.66;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 14:00:00;17918.156;4540.575;5.0;8868.06599999;33522.846;-2191.049
S;SUL;2025-01-01 14:00:00;5766.909;30.713;526.283;4019.559;11148.76;-805.296
NE;NORDESTE;2025-01-01 15:00:00;2209.73099999;446.31;7221.824;5607.203;10523.082;4961.986
N;NORTE;2025-01-01 15:00:00;3180.29999999;1553.99;252.225;932.39299999;6928.58099999;-1009.673
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 15:00:00;30231.043;6581.322;8380.776;17839.382;63032.52;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 15:00:00;18286.039;4543.92699999;5.0;8096.05599999;34114.35699999;-3183.335
S;SUL;2025-01-01 15:00:00;6554.97299999;37.095;901.727;3203.73;11466.503;-768.978
NE;NORDESTE;2025-01-01 16:00:00;2232.08599999;445.943;9954.078;3639.825;11211.263;5060.669
N;NORTE;2025-01-01 16:00:00;3566.903;1541.854;313.36399999;558.999;6968.51199999;-987.39199999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 16:00:00;34777.081;6565.081;11497.784;12290.316;65130.26;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 16:00:00;20662.10199999;4542.793;6.0;5861.119;35243.34399999;-4171.33
S;SUL;2025-01-01 16:00:00;8315.98999999;34.491;1224.342;2230.373;11707.14299999;98.053
NE;NORDESTE;2025-01-01 17:00:00;2740.024;448.95599999;11485.902;862.558;11875.14899999;3662.291
N;NORTE;2025-01-01 17:00:00;5110.365;1540.421;371.696;210.095;6962.122;270.455
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 17:00:00;42897.048;6559.353;12870.766;4832.758;67159.93;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 17:00:00;24904.30099999;4535.511;6.0;2524.10599999;36531.05999999;-4561.142
S;SUL;2025-01-01 17:00:00;10142.358;34.465;1007.16799999;1235.999;11791.594;628.39599999
NE;NORDESTE;2025-01-01 18:00:00;4304.361;458.204;12553.903;12.246;13314.967;4013.747
N;NORTE;2025-01-01 18:00:00;7131.849;1550.654;390.392;24.325;7243.717;1853.503
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 18:00:00;50001.045;6572.684;13827.944;836.373;71238.05;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 18:00:00;27660.252;4531.827;6.0;401.45399999;38713.236;-6113.703
S;SUL;2025-01-01 18:00:00;10904.583;31.999;877.649;398.348;11966.126;246.453
NE;NORDESTE;2025-01-01 19:00:00;4487.724;454.623;13981.982;0.0;13778.667;5145.662
N;NORTE;2025-01-01 19:00:00;9044.008;1556.251;387.802;1.559;7584.457;3405.16299999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 19:00:00;54792.844;6568.95;15002.583;14.145;76378.52;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 19:00:00;29718.218;4530.56;6.0;4.32599999;42135.88;-7876.776
S;SUL;2025-01-01 19:00:00;11542.894;27.516;626.799;8.26;12879.518;-674.049
NE;NORDESTE;2025-01-01 20:00:00;4470.64;452.399;14078.51399999;0.0;13823.916;5177.637
N;NORTE;2025-01-01 20:00:00;9847.48299999;1561.547;396.944;0.001;7760.34399999;4045.631
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 20:00:00;56157.835;6565.36;15164.4;1.001;77888.6;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 20:00:00;30476.09;4526.585;6.0;0.0;42880.889;-7872.214
S;SUL;2025-01-01 20:00:00;11363.622;24.829;682.942;1.0;13423.447;-1351.054
NE;NORDESTE;2025-01-01 21:00:00;4254.125;447.887;14128.545;0.0;14169.462;4661.095
N;NORTE;2025-01-01 21:00:00;10348.67399999;1555.618;400.314;0.0;7950.068;4354.53799999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 21:00:00;55988.848;6572.282;15319.86;1.0;77881.99;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 21:00:00;30795.009;4525.918;6.0;0.0;42494.894;-7167.967
S;SUL;2025-01-01 21:00:00;10591.04;42.85899999;785.001;1.0;13267.566;-1847.666
NE;NORDESTE;2025-01-01 22:00:00;3793.43299999;449.794;14595.63;0.0;14313.776;4525.081
N;NORTE;2025-01-01 22:00:00;10384.258;1561.959;401.915;0.0;8083.876;4264.25599999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 22:00:00;54553.425;6575.845;15504.753;1.0;76635.02;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 22:00:00;30187.51599999;4525.715;6.0;0.0;41316.17299999;-6596.94199999
S;SUL;2025-01-01 22:00:00;10188.218;38.377;501.208;1.0;12921.198;-2192.395
NE;NORDESTE;2025-01-01 23:00:00;3058.233;451.109;15721.509;0.0;14162.127;5068.724
N;NORTE;2025-01-01 23:00:00;10188.074;1566.515;402.951;0.0;8128.672;4028.868
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 23:00:00;50682.107;6573.742;16724.558;1.0;73981.41;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 23:00:00;29108.01399999;4524.224;6.0;0.0;39554.35499999;-5916.117
S;SUL;2025-01-01 23:00:00;8327.786;31.894;594.09799999;1.0;12136.253;-3181.475
NE;NORDESTE;2025-01-02 00:00:00;2888.78;451.256;15545.60099999;0.0;13814.316;5071.321
N;NORTE;2025-01-02 00:00:00;8800.04599999;1565.544;401.938;0.0;8003.64399999;2763.884
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 00:00:00;47846.581;6541.154;16366.266;1.0;70755.0;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 00:00:00;29021.448;4495.291;5.0;0.0;37511.013;-3989.274
S;SUL;2025-01-02 00:00:00;7136.30699999;29.063;413.727;1.0;11426.02799999;-3845.931
NE;NORDESTE;2025-01-02 01:00:00;2689.89999999;450.783;15707.932;0.002;13534.999;5313.618
N;NORTE;2025-01-02 01:00:00;6679.959;1568.101;395.102;0.0;7806.286;836.876
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 01:00:00;45099.738;6550.284;16329.108;1.002;67980.13;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 01:00:00;28272.33699999;4500.515;5.0;0.0;35728.71399999;-2950.86199999
S;SUL;2025-01-02 01:00:00;7457.542;30.885;221.074;1.0;10910.133;-3199.632
NE;NORDESTE;2025-01-02 02:00:00;2686.227;451.313;16217.248;0.001;13254.046;6100.743
N;NORTE;2025-01-02 02:00:00;5340.539;1572.93;392.959;0.0;7699.036;-392.60799999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 02:00:00;42863.865;6541.805;16797.046;1.001;66203.72;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 02:00:00;27765.18799999;4491.277;4.0;0.0;34713.515;-2453.05
S;SUL;2025-01-02 02:00:00;7071.911;26.285;182.839;1.0;10537.11999999;-3255.085
NE;NORDESTE;2025-01-02 03:00:00;2632.31699999;451.345;16327.86699999;0.0;13053.245;6358.284
N;NORTE;2025-01-02 03:00:00;5014.551;1575.489;396.735;0.0;7560.124;-573.34899999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 03:00:00;41483.689;6544.629;16977.408;1.0;65006.73;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 03:00:00;27152.22299999;4488.88;4.0;0.0;34104.886;-2459.783
S;SUL;2025-01-02 03:00:00;6684.598;28.915;248.806;1.0;10288.471;-3325.152
NE;NORDESTE;2025-01-02 04:00:00;2404.32199999;449.419;16016.683;7.991;12892.022;5986.393
N;NORTE;2025-01-02 04:00:00;5021.413;1570.12799999;397.432;0.0;7430.633;-441.66
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 04:00:00;40822.561;6543.463;17111.791;10.189;64488.0;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 04:00:00;26952.136;4495.996;4.0;1.198;33992.543;-2539.213
S;SUL;2025-01-02 04:00:00;6444.69;27.92;693.676;1.0;10172.806;-3005.52
NE;NORDESTE;2025-01-02 05:00:00;2397.466;450.669;15953.43899999;340.17899999;12384.52899999;6757.224
N;NORTE;2025-01-02 05:00:00;4600.893;1572.386;396.818;11.066;7329.973;-748.80999999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 05:00:00;40150.354;6548.769;16790.928;753.319;64243.37;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 05:00:00;26600.04499999;4495.043;4.0;287.81999999;34234.47199999;-2847.564
S;SUL;2025-01-02 05:00:00;6551.94999999;30.671;436.671;114.254;10294.39599999;-3160.85
NE;NORDESTE;2025-01-02 06:00:00;2307.089;447.20599999;14618.507;3312.46699999;12104.686;8580.583
N;NORTE;2025-01-02 06:00:00;3668.327;1578.575;369.291;151.52699999;7124.658;-1356.93799999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 06:00:00;37637.663;6561.127;15155.535;6718.403;66072.73;0.0
